Time,x (km),y (km),z (km),Dx (km/s),Dy (km/s),Dz (km/s),Distance (km),Vel. (km/s)
2022-048/00:00.000000,-126004233.0608571,73177091.57787916,31502230.63367243,-16.48008081961066,-23.43906408084853,-9.991916962638905,149078315.0426285,30.3450357290166
2022-049/00:00.000000,-127408890.4988512,71140535.75764373,30634109.67049691,-16.03436596336368,-23.70226598228062,-10.10300395033665,149105499.16531205,30.347470954963786
2022-050/00:00.000000,-128774831.1500766,69081555.35634086,29756518.96354052,-15.58387963696937,-23.95814127385368,-10.21111975525755,149133057.53255874,30.349906169438
2022-051/00:00.000000,-130101648.3025731,67000786.30012761,28869716.45316602,-15.12875046029605,-24.2066232911381,-10.31623614687743,149161002.89274,30.352338128834788
2022-052/00:00.000000,-131388946.4627662,64898870.2509533,27973962.48559691,-14.66910956502348,-24.44764541991652,-10.41832496469611,149189346.76977205,30.354763004817524
2022-053/00:00.000000,-132636341.3928857,62776454.37091244,27069519.58947224,-14.20508763907096,-24.68114755798386,-10.51736641463883,149218099.3454822,30.35718293769091
2022-054/00:00.000000,-133843460.6033146,60634191.12944011,26156652.16964951,-13.73682253813164,-24.90706665934971,-10.61333281988234,149247269.76704308,30.359596449277827
2022-055/00:00.000000,-135009943.3871734,58472738.25331417,25235626.96676642,-13.26445174885093,-25.12534285366565,-10.70620162609698,149276866.26083142,30.36200400122633
2022-056/00:00.000000,-136135440.9962394,56292758.75394754,24306712.56931034,-12.78811440670692,-25.33591501397815,-10.79594970679038,149306896.22150004,30.364403332621173
2022-057/00:00.000000,-137219616.7773865,54094920.86768267,23370179.48577487,-12.30795072332152,-25.53872279475704,-10.88255746092416,149337366.3267536,30.36679222251619
2022-058/00:00.000000,-138262146.2411487,51879897.99130211,22426299.9359123,-11.82410196532528,-25.73370665006478,-10.96600417166626,149368282.53552428,30.369166809957086
2022-059/00:00.000000,-139262717.1592409,49648368.74113762,21475347.8242804,-11.33671084149343,-25.92080670364874,-11.04627071793504,149399650.17832047,30.37152168801335
2022-060/00:00.000000,-140221029.7263686,47401016.63651446,20517599.0450124,-10.84592280333571,-26.09996684611196,-11.12333414658259,149431474.0149148,30.373851803164367
2022-061/00:00.000000,-141136796.6437094,45138530.304547,19553330.91905424,-10.35188161176286,-26.27112950658712,-11.19717686878795,149463758.2657827,30.3761496619757
2022-062/00:00.000000,-142009743.0662037,42861603.11191697,18582822.58205162,-9.854730820160155,-26.43423818538519,-11.26778099679213,149496506.45472854,30.378406090036403
2022-063/00:00.000000,-142839606.5630692,40570933.28727064,17606354.63134737,-9.354614837166991,-26.58923843486892,-11.33512855257358,149529721.30749568,30.380611557396673
2022-064/00:00.000000,-143626137.1837193,38267223.68298965,16624209.189306,-8.85167808610636,-26.73607772687883,-11.3992021344254,149563404.6880798,30.38275607082495
2022-065/00:00.000000,-144369097.4513081,35951181.6490861,15636669.77567062,-8.346064989411104,-26.87470432758311,-11.45998694644517,149597557.47519493,30.384829015730563
2022-066/00:00.000000,-145068262.3867941,33623518.85736489,14644021.26620047,-7.83792017594465,-27.00506996402672,-11.51746620426649,149632179.46391156,30.386819909508123
2022-067/00:00.000000,-145723419.4327815,31284951.19162425,13646549.86203317,-7.327387169015675,-27.12712773399592,-11.57162294631852,149667269.18528855,30.388716975761767
2022-068/00:00.000000,-146334368.5313066,28936198.22831369,12644543.50050499,-6.814610570300734,-27.2408325055017,-11.62244368405968,149702823.82674244,30.39050953845281
