Time                         x (km)            y (km)            z (km)    Dx (km/s)    Dy (km/s)    Dz (km/s)     Distance (km)  Vel. (km/s)
2019-349/00:00:00      20203070.902     135320788.175      58355233.546      -30.160        3.490        1.651     148745464.027       30.406
2019-350/00:00:00      17594218.562     135601405.264      58488973.809      -30.234        3.007        1.445     148722082.064       30.417
2019-351/00:00:00      14979247.293     135840267.020      58604903.249      -30.293        2.522        1.238     148699329.784       30.423
2019-352/00:00:00      12359475.475     136037178.199      58702930.999      -30.353        2.037        1.031     148677182.494       30.438
2019-353/00:00:00       9735327.776     136192122.522      58783035.945      -30.388        1.549        0.823     148655696.692       30.439
2019-354/00:00:00       7107692.495     136304995.961      58845163.965      -30.432        1.063        0.615     148634869.861       30.456
2019-355/00:00:00       4477515.708     136375738.580      58889275.947      -30.453        0.575        0.406     148614726.867       30.461
2019-356/00:00:00       1845283.057     136404313.174      58915345.910      -30.467        0.086        0.197     148595288.303       30.468
2019-357/00:00:00       -787750.309     136390670.221      58923337.583      -30.480       -0.402       -0.012     148576563.380       30.483
2019-358/00:00:00      -3421354.908     136334798.087      58913236.723      -30.480       -0.891       -0.222     148558582.047       30.494
2019-359/00:00:00      -6054142.825     136236689.475      58885023.346      -30.467       -1.380       -0.431     148541355.113       30.501
2019-360/00:00:00      -8685930.193     136096326.471      58838680.548      -30.448       -1.869       -0.641     148524899.565       30.512
2019-361/00:00:00     -11314911.968     135913787.705      58774221.790      -30.416       -2.357       -0.851     148509238.999       30.519
2019-362/00:00:00     -13941718.123     135688974.401      58691598.831      -30.385       -2.846       -1.061     148494353.602       30.537
2019-363/00:00:00     -16564711.855     135422046.512      58590861.802      -30.333       -3.333       -1.271     148480333.536       30.542
2019-364/00:00:00     -19182331.093     135113144.107      58472052.347      -30.265       -3.818       -1.480     148467183.048       30.541
2019-365/00:00:00     -21795177.217     134762114.416      58335094.603      -30.211       -4.306       -1.690     148454843.283       30.563
2020-001/00:00:00     -24401816.766     134369172.834      58180064.309      -30.126       -4.789       -1.899     148443400.502       30.563
2020-002/00:00:00     -27001475.588     133934373.728      58006967.198      -30.041       -5.273       -2.107     148432827.883       30.573
2020-003/00:00:00     -29593183.970     133457890.518      57815862.387      -29.949       -5.756       -2.316     148423175.490       30.585
2020-004/00:00:00     -32176521.571     132939737.509      57606738.062      -29.848       -6.238       -2.524     148414415.134       30.597
2020-005/00:00:00     -34750253.942     132380174.309      57379689.722      -29.729       -6.715       -2.731     148406601.914       30.601
2020-006/00:00:00     -37314006.327     131779218.384      57134704.967      -29.613       -7.194       -2.939     148399703.429       30.615
2020-007/00:00:00     -39866512.306     131137176.904      56871899.984      -29.478       -7.669       -3.145     148393770.009       30.621
2020-008/00:00:00     -42407540.857     130454044.372      56591249.949      -29.338       -8.143       -3.351     148388769.068       30.631
2020-009/00:00:00     -44935715.544     129730196.942      56292901.247      -29.190       -8.615       -3.556     148384747.400       30.642
