    i       P                   T                   
  302       2.7979061E+04       9.0000000e+02       
  303       2.9165474E+04       9.0000000e+02       
  304       3.0402192E+04       9.0000000e+02       
  305       3.1691355E+04       9.0000000e+02       
  306       3.3035180E+04       9.0000000e+02       
  307       3.4435990E+04       9.0000000e+02       
  308       3.5896200E+04       9.0000000e+02       
  309       3.7418327E+04       9.0000000e+02       
  310       3.9004996E+04       9.0000000e+02       
  311       4.0658948E+04       9.0000000e+02       
  312       4.2383033E+04       9.0000000e+02       
  313       4.4180223E+04       9.0000000e+02       
  314       4.6053621E+04       9.0000000e+02       
  315       4.8006460E+04       9.0000000e+02       
  316       5.0042105E+04       9.0000000e+02       
  317       5.2164072E+04       9.0000000e+02       
  318       5.4376012E+04       9.0000000e+02       
  319       5.6681746E+04       9.0000000e+02       
  320       5.9085256E+04       9.0000000e+02       
  321       6.1590683E+04       9.0000000e+02       
  322       6.4202344E+04       9.0000000e+02       
  323       6.6924757E+04       9.0000000e+02       
  324       6.9762605E+04       9.0000000e+02       
  325       7.2720790E+04       9.0000000e+02       
  326       7.5804406E+04       9.0000000e+02       
  327       7.9018784E+04       9.0000000e+02       
  328       8.2369375E+04       9.0000000e+02       
  329       8.5862130E+04       9.0000000e+02       
  330       8.9502990E+04       9.0000000e+02       
  331       9.3298233E+04       9.0000000e+02       
  332       9.7254413E+04       9.0000000e+02       
  333       1.0137835E+05       9.0000000e+02       
